,Label,session,current_drive_mode
1358655,,5399.0,car/driveMode/0.0
1358656,,5399.0,car/driveMode/0.0
1358657,,5399.0,car/driveMode/0.0
1358658,,5399.0,car/driveMode/0.0
1358659,,5399.0,car/driveMode/0.0
1358660,,5399.0,car/driveMode/0.0
1358661,,5399.0,car/driveMode/0.0
1358662,,5399.0,car/driveMode/0.0
1358663,,5399.0,car/driveMode/0.0
1358664,,5399.0,car/driveMode/0.0
1358665,,5399.0,car/driveMode/0.0
1358666,,5399.0,car/driveMode/0.0
1358667,,5399.0,car/driveMode/0.0
1358668,,5399.0,car/driveMode/0.0
1358669,,5399.0,car/driveMode/0.0
1358670,,5399.0,car/driveMode/0.0
1358671,,5399.0,car/driveMode/0.0
1358672,,5399.0,car/driveMode/0.0
1358673,,5399.0,car/driveMode/0.0
1358674,,5399.0,car/driveMode/0.0
1358675,,5399.0,car/driveMode/0.0
1358676,,5399.0,car/driveMode/0.0
1358677,,5399.0,car/driveMode/0.0
1358678,,5399.0,car/driveMode/0.0
1358679,,5399.0,car/driveMode/0.0
1358680,,5399.0,car/driveMode/0.0
1358681,,5399.0,car/driveMode/0.0
1358682,,5399.0,car/driveMode/0.0
1358683,,5399.0,car/driveMode/0.0
1358684,,5399.0,car/driveMode/0.0
1358685,,5399.0,car/driveMode/0.0
1358686,,5399.0,car/driveMode/0.0
1358687,,5399.0,car/driveMode/0.0
1358688,,5399.0,car/driveMode/0.0
1358689,,5399.0,car/driveMode/0.0
1358690,,5399.0,car/driveMode/0.0
1358691,,5399.0,car/driveMode/0.0
1358692,,5399.0,car/driveMode/0.0
1358693,,5399.0,car/driveMode/0.0
1358694,,5399.0,car/driveMode/0.0
1358695,,5399.0,car/driveMode/0.0
1358696,,5399.0,car/driveMode/0.0
1358697,,5399.0,car/driveMode/0.0
1358698,,5399.0,car/driveMode/0.0
1358699,,5399.0,car/driveMode/0.0
1358700,,5399.0,car/driveMode/0.0
1358701,,5399.0,car/driveMode/0.0
1358702,,5399.0,car/driveMode/0.0
1358703,,5399.0,car/driveMode/0.0
1358704,,5399.0,car/driveMode/0.0
1358705,,5399.0,car/driveMode/0.0
1358706,,5399.0,car/driveMode/0.0
1358707,,5399.0,car/driveMode/0.0
1358708,,5399.0,car/driveMode/0.0
1358709,,5399.0,car/driveMode/0.0
1358710,,5399.0,car/driveMode/0.0
1358711,,5399.0,car/driveMode/0.0
1358712,,5399.0,car/driveMode/0.0
1358713,,5399.0,car/driveMode/0.0
1358714,,5399.0,car/driveMode/0.0
1358715,,5399.0,car/driveMode/0.0
1358716,,5399.0,car/driveMode/0.0
1358717,,5399.0,car/driveMode/0.0
1358718,,5399.0,car/driveMode/0.0
1358719,,5399.0,car/driveMode/0.0
1358720,,5399.0,car/driveMode/0.0
1358721,,5399.0,car/driveMode/0.0
1358722,,5399.0,car/driveMode/0.0
1358723,,5399.0,car/driveMode/0.0
1358724,,5399.0,car/driveMode/0.0
1358725,,5399.0,car/driveMode/0.0
1358726,,5399.0,car/driveMode/0.0
1358727,,5399.0,car/driveMode/0.0
1358728,,5399.0,car/driveMode/0.0
1358729,,5399.0,car/driveMode/0.0
1358730,,5399.0,car/driveMode/0.0
1358731,,5399.0,car/driveMode/0.0
1358732,,5399.0,car/driveMode/0.0
1358733,,5399.0,car/driveMode/0.0
1358734,,5399.0,car/driveMode/0.0
1358735,,5399.0,car/driveMode/0.0
1358736,,5399.0,car/driveMode/0.0
1358737,,5399.0,car/driveMode/0.0
1358738,,5399.0,car/driveMode/0.0
1358739,,5399.0,car/driveMode/0.0
1358740,,5399.0,car/driveMode/0.0
1358741,,5399.0,car/driveMode/0.0
1358742,,5399.0,car/driveMode/0.0
1358743,,5399.0,car/driveMode/0.0
1358744,,5399.0,car/driveMode/0.0
1358745,,5399.0,car/driveMode/0.0
1358746,,5399.0,car/driveMode/0.0
1358747,,5399.0,car/driveMode/0.0
1358748,,5399.0,car/driveMode/0.0
1358749,,5399.0,car/driveMode/0.0
1358750,,5399.0,car/driveMode/0.0
1358751,,5399.0,car/driveMode/0.0
1358752,,5399.0,car/driveMode/0.0
1358753,,5399.0,car/driveMode/0.0
1358754,,5399.0,car/driveMode/0.0
1358755,,5399.0,car/driveMode/0.0
1358756,,5399.0,car/driveMode/0.0
1358757,,5399.0,car/driveMode/0.0
1358758,,5399.0,car/driveMode/0.0
1358759,,5399.0,car/driveMode/0.0
1358760,,5399.0,car/driveMode/0.0
1358761,,5399.0,car/driveMode/0.0
1358762,,5399.0,car/driveMode/0.0
1358763,,5399.0,car/driveMode/0.0
1358764,,5399.0,car/driveMode/0.0
1358765,,5399.0,car/driveMode/0.0
1358766,,5399.0,car/driveMode/0.0
1358767,,5399.0,car/driveMode/0.0
1358768,,5399.0,car/driveMode/0.0
1358769,,5399.0,car/driveMode/0.0
1358770,,5399.0,car/driveMode/0.0
1358771,,5399.0,car/driveMode/0.0
1358772,,5399.0,car/driveMode/0.0
1358773,,5399.0,car/driveMode/0.0
1358774,,5399.0,car/driveMode/0.0
1358775,,5399.0,car/driveMode/0.0
1358776,,5399.0,car/driveMode/0.0
1358777,,5399.0,car/driveMode/0.0
1358778,,5399.0,car/driveMode/0.0
1358779,,5399.0,car/driveMode/0.0
1358780,,5399.0,car/driveMode/0.0
1358781,,5399.0,car/driveMode/0.0
1358782,,5399.0,car/driveMode/0.0
1358783,,5399.0,car/driveMode/0.0
1358784,,5399.0,car/driveMode/0.0
1358785,,5399.0,car/driveMode/0.0
1358786,,5399.0,car/driveMode/0.0
1358787,,5399.0,car/driveMode/0.0
1358788,,5399.0,car/driveMode/0.0
1358789,,5399.0,car/driveMode/0.0
1358790,,5399.0,car/driveMode/0.0
1358791,,5399.0,car/driveMode/0.0
1358792,,5399.0,car/driveMode/0.0
1358793,,5399.0,car/driveMode/0.0
1358794,,5399.0,car/driveMode/0.0
1358795,,5399.0,car/driveMode/0.0
1358796,,5399.0,car/driveMode/0.0
1358797,,5399.0,car/driveMode/0.0
1358798,,5399.0,car/driveMode/0.0
1358799,,5399.0,car/driveMode/0.0
1358800,,5399.0,car/driveMode/0.0
1358801,,5399.0,car/driveMode/0.0
1358802,,5399.0,car/driveMode/0.0
1358803,,5399.0,car/driveMode/0.0
1358804,,5399.0,car/driveMode/0.0
1358805,,5399.0,car/driveMode/0.0
1358806,,5399.0,car/driveMode/0.0
1358807,,5399.0,car/driveMode/0.0
1358808,,5399.0,car/driveMode/0.0
1358809,,5399.0,car/driveMode/0.0
1358810,,5399.0,car/driveMode/0.0
1358811,,5399.0,car/driveMode/0.0
1358812,,5399.0,car/driveMode/0.0
1358813,,5399.0,car/driveMode/0.0
1358814,,5399.0,car/driveMode/0.0
1358815,,5399.0,car/driveMode/0.0
1358816,,5399.0,car/driveMode/0.0
1358817,,5399.0,car/driveMode/0.0
1358818,,5399.0,car/driveMode/0.0
1358819,,5399.0,car/driveMode/0.0
1358820,,5399.0,car/driveMode/0.0
1358821,,5399.0,car/driveMode/0.0
1358822,,5399.0,car/driveMode/0.0
1358823,,5399.0,car/driveMode/0.0
1358824,,5399.0,car/driveMode/0.0
1358825,,5399.0,car/driveMode/0.0
1358826,,5399.0,car/driveMode/0.0
1358827,,5399.0,car/driveMode/0.0
1358828,,5399.0,car/driveMode/0.0
1358829,,5399.0,car/driveMode/0.0
1358830,,5399.0,car/driveMode/0.0
1358831,,5399.0,car/driveMode/0.0
1358832,,5399.0,car/driveMode/0.0
1358833,,5399.0,car/driveMode/0.0
1358834,,5399.0,car/driveMode/0.0
1358835,,5399.0,car/driveMode/0.0
1358836,,5399.0,car/driveMode/0.0
1358837,,5399.0,car/driveMode/0.0
1358838,,5399.0,car/driveMode/0.0
1358839,,5399.0,car/driveMode/0.0
1358840,,5399.0,car/driveMode/0.0
1358841,,5399.0,car/driveMode/0.0
1358842,,5399.0,car/driveMode/0.0
1358843,,5399.0,car/driveMode/0.0
1358844,,5399.0,car/driveMode/0.0
1358845,,5399.0,car/driveMode/0.0
1358846,,5399.0,car/driveMode/0.0
1358847,,5399.0,car/driveMode/0.0
1358848,,5399.0,car/driveMode/0.0
1358849,,5399.0,car/driveMode/0.0
1358850,,5399.0,car/driveMode/0.0
1358851,,5399.0,car/driveMode/0.0
1358852,,5399.0,car/driveMode/0.0
1358853,,5399.0,car/driveMode/0.0
1358854,,5399.0,car/driveMode/0.0
1358855,,5399.0,car/driveMode/0.0
1358856,,5399.0,car/driveMode/0.0
1358857,,5399.0,car/driveMode/0.0
1358858,,5399.0,car/driveMode/0.0
1358859,,5399.0,car/driveMode/0.0
1358860,,5399.0,car/driveMode/0.0
1358861,,5399.0,car/driveMode/0.0
1358862,,5399.0,car/driveMode/0.0
1358863,,5399.0,car/driveMode/0.0
1358864,,5399.0,car/driveMode/0.0
1358865,,5399.0,car/driveMode/0.0
1358866,,5399.0,car/driveMode/0.0
1358867,,5399.0,car/driveMode/0.0
1358868,,5399.0,car/driveMode/0.0
1358869,,5399.0,car/driveMode/0.0
1358870,,5399.0,car/driveMode/0.0
1358871,,5399.0,car/driveMode/0.0
1358872,,5399.0,car/driveMode/0.0
1358873,,5399.0,car/driveMode/0.0
1358874,,5399.0,car/driveMode/0.0
1358875,,5399.0,car/driveMode/0.0
1358876,,5399.0,car/driveMode/0.0
1358877,,5399.0,car/driveMode/0.0
1358878,,5399.0,car/driveMode/0.0
1358879,,5399.0,car/driveMode/0.0
1358880,,5399.0,car/driveMode/0.0
1358881,,5399.0,car/driveMode/0.0
1358882,,5399.0,car/driveMode/0.0
1358883,,5399.0,car/driveMode/0.0
1358884,,5399.0,car/driveMode/0.0
1358885,,5399.0,car/driveMode/0.0
1358886,,5399.0,car/driveMode/0.0
1358887,,5399.0,car/driveMode/0.0
1358888,,5399.0,car/driveMode/0.0
1358889,,5399.0,car/driveMode/0.0
1358890,,5399.0,car/driveMode/0.0
1358891,,5399.0,car/driveMode/0.0
1358892,,5399.0,car/driveMode/0.0
1358893,,5399.0,car/driveMode/0.0
1358894,,5399.0,car/driveMode/0.0
1358895,,5399.0,car/driveMode/0.0
1358896,,5399.0,car/driveMode/0.0
1358897,,5399.0,car/driveMode/0.0
1358898,,5399.0,car/driveMode/0.0
1358899,,5399.0,car/driveMode/0.0
1358900,,5399.0,car/driveMode/0.0
1358901,,5399.0,car/driveMode/0.0
1358902,,5399.0,car/driveMode/0.0
1358903,,5399.0,car/driveMode/0.0
1358904,,5399.0,car/driveMode/0.0
1358905,,5399.0,car/driveMode/0.0
1358906,,5399.0,car/driveMode/0.0
1358907,,5399.0,car/driveMode/0.0
1358908,,5399.0,car/driveMode/0.0
1358909,,5399.0,car/driveMode/0.0
1358910,,5399.0,car/driveMode/0.0
1358911,,5399.0,car/driveMode/0.0
1358912,,5399.0,car/driveMode/0.0
1358913,,5399.0,car/driveMode/0.0
1358914,,5399.0,car/driveMode/0.0
1358915,,5399.0,car/driveMode/0.0
1358916,,5399.0,car/driveMode/0.0
1358917,,5399.0,car/driveMode/0.0
1358918,,5399.0,car/driveMode/0.0
1358919,,5399.0,car/driveMode/0.0
1358920,,5399.0,car/driveMode/0.0
1358921,,5399.0,car/driveMode/0.0
1358922,,5399.0,car/driveMode/0.0
1358923,,5399.0,car/driveMode/0.0
1358924,,5399.0,car/driveMode/0.0
1358925,,5399.0,car/driveMode/0.0
1358926,,5399.0,car/driveMode/0.0
1358927,,5399.0,car/driveMode/0.0
1358928,,5399.0,car/driveMode/0.0
1358929,,5399.0,car/driveMode/0.0
1358930,,5399.0,car/driveMode/0.0
1358931,,5399.0,car/driveMode/0.0
1358932,,5399.0,car/driveMode/0.0
1358933,,5399.0,car/driveMode/0.0
1358934,,5399.0,car/driveMode/0.0
1358935,,5399.0,car/driveMode/0.0
1358936,,5399.0,car/driveMode/0.0
1358937,,5399.0,car/driveMode/0.0
1358938,,5399.0,car/driveMode/0.0
1358939,,5399.0,car/driveMode/0.0
1358940,,5399.0,car/driveMode/0.0
1358941,,5399.0,car/driveMode/0.0
1358942,,5399.0,car/driveMode/0.0
1358943,,5399.0,car/driveMode/0.0
1358944,,5399.0,car/driveMode/0.0
1358945,,5399.0,car/driveMode/0.0
1358946,,5399.0,car/driveMode/0.0
1358947,,5399.0,car/driveMode/0.0
1358948,,5399.0,car/driveMode/0.0
1358949,,5399.0,car/driveMode/0.0
1358950,,5399.0,car/driveMode/0.0
1358951,,5399.0,car/driveMode/0.0
1358952,,5399.0,car/driveMode/0.0
1358953,,5399.0,car/driveMode/0.0
1358954,,5399.0,car/driveMode/0.0
1358955,,5399.0,car/driveMode/0.0
1358956,,5399.0,car/driveMode/0.0
1358957,,5399.0,car/driveMode/0.0
1358958,,5399.0,car/driveMode/0.0
1358959,,5399.0,car/driveMode/0.0
1358960,,5399.0,car/driveMode/0.0
1358961,,5399.0,car/driveMode/0.0
1358962,,5399.0,car/driveMode/0.0
1358963,,5399.0,car/driveMode/0.0
1358964,,5399.0,car/driveMode/0.0
1358965,,5399.0,car/driveMode/0.0
1358966,,5399.0,car/driveMode/0.0
1358967,,5399.0,car/driveMode/0.0
1358968,,5399.0,car/driveMode/0.0
1358969,,5399.0,car/driveMode/0.0
1358970,,5399.0,car/driveMode/0.0
1358971,,5399.0,car/driveMode/0.0
1358972,,5399.0,car/driveMode/0.0
1358973,,5399.0,car/driveMode/0.0
1358974,,5399.0,car/driveMode/0.0
1358975,,5399.0,car/driveMode/0.0
1358976,,5399.0,car/driveMode/0.0
1358977,,5399.0,car/driveMode/0.0
1358978,,5399.0,car/driveMode/0.0
1358979,,5399.0,car/driveMode/0.0
1358980,,5399.0,car/driveMode/0.0
1358981,,5399.0,car/driveMode/0.0
1358982,,5399.0,car/driveMode/0.0
1358983,,5399.0,car/driveMode/0.0
1358984,,5399.0,car/driveMode/0.0
1358985,,5399.0,car/driveMode/0.0
1358986,,5399.0,car/driveMode/0.0
1358987,,5399.0,car/driveMode/0.0
1358988,,5399.0,car/driveMode/0.0
1358989,,5399.0,car/driveMode/0.0
1358990,,5399.0,car/driveMode/0.0
1358991,,5399.0,car/driveMode/0.0
1358992,,5399.0,car/driveMode/0.0
1358993,,5399.0,car/driveMode/0.0
1358994,,5399.0,car/driveMode/0.0
1358995,,5399.0,car/driveMode/0.0
1358996,,5399.0,car/driveMode/0.0
1358997,,5399.0,car/driveMode/0.0
1358998,,5399.0,car/driveMode/0.0
1358999,,5399.0,car/driveMode/0.0
1359000,,5399.0,car/driveMode/0.0
1359001,,5399.0,car/driveMode/0.0
1359002,,5399.0,car/driveMode/0.0
1359003,,5399.0,car/driveMode/0.0
1359004,,5399.0,car/driveMode/0.0
1359005,,5399.0,car/driveMode/0.0
1359006,,5399.0,car/driveMode/0.0
1359007,,5399.0,car/driveMode/0.0
1359008,,5399.0,car/driveMode/0.0
1359009,,5399.0,car/driveMode/0.0
1359010,,5399.0,car/driveMode/0.0
1359011,,5399.0,car/driveMode/0.0
1359012,,5399.0,car/driveMode/0.0
1359013,,5399.0,car/driveMode/0.0
1359014,,5399.0,car/driveMode/0.0
1359015,,5399.0,car/driveMode/0.0
1359016,,5399.0,car/driveMode/0.0
1359017,,5399.0,car/driveMode/0.0
1359018,,5399.0,car/driveMode/0.0
1359019,,5399.0,car/driveMode/0.0
1359020,,5399.0,car/driveMode/0.0
1359021,,5399.0,car/driveMode/0.0
1359022,,5399.0,car/driveMode/0.0
1359023,,5399.0,car/driveMode/0.0
1359024,,5399.0,car/driveMode/0.0
1359025,,5399.0,car/driveMode/0.0
1359026,,5399.0,car/driveMode/0.0
1359027,,5399.0,car/driveMode/0.0
1359028,,5399.0,car/driveMode/0.0
1359029,,5399.0,car/driveMode/0.0
1359030,,5399.0,car/driveMode/0.0
1359031,,5399.0,car/driveMode/0.0
1359032,,5399.0,car/driveMode/0.0
1359033,,5399.0,car/driveMode/0.0
1359034,,5399.0,car/driveMode/0.0
1359035,,5399.0,car/driveMode/0.0
1359036,,5399.0,car/driveMode/0.0
1359037,,5399.0,car/driveMode/0.0
1359038,,5399.0,car/driveMode/0.0
1359039,,5399.0,car/driveMode/0.0
1359040,,5399.0,car/driveMode/0.0
1359041,,5399.0,car/driveMode/0.0
1359042,,5399.0,car/driveMode/0.0
1359043,,5399.0,car/driveMode/0.0
1359044,,5399.0,car/driveMode/0.0
1359045,,5399.0,car/driveMode/0.0
1359046,,5399.0,car/driveMode/0.0
1359047,,5399.0,car/driveMode/0.0
1359048,,5399.0,car/driveMode/0.0
1359049,,5399.0,car/driveMode/0.0
1359050,,5399.0,car/driveMode/0.0
1359051,,5399.0,car/driveMode/0.0
1359052,,5399.0,car/driveMode/0.0
1359053,,5399.0,car/driveMode/0.0
1359054,,5399.0,car/driveMode/0.0
1359055,,5399.0,car/driveMode/0.0
1359056,,5399.0,car/driveMode/0.0
1359057,,5399.0,car/driveMode/0.0
1359058,,5399.0,car/driveMode/0.0
1359059,,5399.0,car/driveMode/0.0
1359060,,5399.0,car/driveMode/0.0
1359061,,5399.0,car/driveMode/0.0
1359062,,5399.0,car/driveMode/0.0
1359063,,5399.0,car/driveMode/0.0
1359064,,5399.0,car/driveMode/0.0
1359065,,5399.0,car/driveMode/0.0
1359066,,5399.0,car/driveMode/0.0
1359067,,5399.0,car/driveMode/0.0
1359068,,5399.0,car/driveMode/0.0
1359069,,5399.0,car/driveMode/0.0
1359070,,5399.0,car/driveMode/0.0
1359071,,5399.0,car/driveMode/0.0
1359072,,5399.0,car/driveMode/0.0
1359073,,5399.0,car/driveMode/0.0
1359074,,5399.0,car/driveMode/0.0
1359075,,5399.0,car/driveMode/0.0
1359076,,5399.0,car/driveMode/0.0
1359077,,5399.0,car/driveMode/0.0
1359078,,5399.0,car/driveMode/0.0
1359079,,5399.0,car/driveMode/0.0
1359080,,5399.0,car/driveMode/0.0
1359081,,5399.0,car/driveMode/0.0
1359082,,5399.0,car/driveMode/0.0
1359083,,5399.0,car/driveMode/0.0
1359084,,5399.0,car/driveMode/0.0
1359085,,5399.0,car/driveMode/0.0
1359086,,5399.0,car/driveMode/0.0
1359087,,5399.0,car/driveMode/0.0
1359088,,5399.0,car/driveMode/0.0
1359089,,5399.0,car/driveMode/0.0
1359090,,5399.0,car/driveMode/0.0
1359091,,5399.0,car/driveMode/0.0
1359092,,5399.0,car/driveMode/0.0
1359093,,5399.0,car/driveMode/0.0
1359094,,5399.0,car/driveMode/0.0
1359095,,5399.0,car/driveMode/0.0
1359096,,5399.0,car/driveMode/0.0
1359097,,5399.0,car/driveMode/0.0
1359098,,5399.0,car/driveMode/0.0
1359099,,5399.0,car/driveMode/0.0
1359100,,5399.0,car/driveMode/0.0
1359101,,5399.0,car/driveMode/0.0
