session_id	item_id_seq_train	item_id_train
239	90 15 90 15 90 15 90 90 15 90 15 90 15 90 15	90
240	73 16 40 61 90 15 15 90 15 15 90 90 15 90 15 90 90 15 15 90 15	90
241	90 15	90
242	90	40
243	90 16 16 40 40 15 90 69	23
244	61 40 90 16 40 15 61 61 61 61	90
245	61 90 40 15 90 15 90 15 90 15 90 15 61 15 61 90 15 90	14
246	90 69 15 90 15 90 61	61
247	90	14
248	73 73 90	61
249	90 15 90 15 90 15 69 90 15 90 13 15 15 90 15	90
250	90	90
251	90 16	40
252	16 16	40
253	16 16 40 40 37	40
254	71	71
255	61 61 16 16	40
256	16 16	40
257	16 16	40
258	90 15	90
259	61 61 16 16 40 40 16 40 16 40 15 15 90 15	90
260	14	61
261	90	15
262	90 15 90 15 15 90 90 15 90 15 90 15 90 15	90
263	15 61 61 90 16 16 40 40 15 90 61 51 51 15 61 61 90 14 15 90 15 90 15 90 15 90 69 69 15	84
264	90 16 16 40 40 73 73 15	61
265	61 61 69 69 69 69 16 16 16 16 40 40	69
266	90 15	90
267	61 61 61 61 61 61 61	40
268	16 16 40 40 90 14	61
269	90 15 90 15 90 15	90
270	61 90 15 61 90 15 90 15	61
271	61 61	90
272	90 61 61 15	61
273	14 90	61
274	61 90 15 90 15 61 61	90
275	61 16 16 40 40 90 15 40 40 90 15 61 61 90	37
276	61 61 90 15	61
277	90 15 90 15	90
278	90 84 15 84 37	15
279	61 61 61 61 61 61	16
280	90 15	90
281	90 15	90
282	90 15 90 15 90 15	90
283	90 15	90
284	90 15	73
285	90 15 90 15 61 90 15 15 90 15 15 61 90 15 90 15 90 40 61 15 16 40 40	90
286	90 15	90
287	90 15 61 61 61	90
288	15 69 90 15 90 15 61 61	61
289	90 15 90 15 90 61 40 15 71 61 61 90 15 15 15 90 15 90 15	61
290	16 40	90
291	61 61 61 90 15 90 61 15 15 90 15 90 15 69 23 69 69 23 90	61
292	90	90
293	90 15 90 15 90 73	61
294	90 15 90 15	90
295	90 15 90 15	90
296	90	15
297	90 15	90
298	40 61 40	90
299	90 15 90 15 61 15 61 15 40 40 61 61 6 61 61 40 73 69 69 69 68 33 78 24	99
300	61 61 61 40 90 90 15 90 15 90 15 90 90 90 90 15 90 15 90 15 90 15 61 40 33	90
301	90 90 6 61 40 16 40 51 40 15 40 15	90
302	90 15 61 61 95 6 61 95 69 90 69 69 73 6 61 61 15 90 90 15 40 15 40 90	15
303	90	90
304	90 15 90 15	90
305	90 15 90 61 15 90	15
306	90 15	90
307	90 15 40 61	90
308	61 61 61	90
309	90 15 90 15 90 90 90 90 15 90 15 61 61 90 15 90 15 15 90 15 90 14 15 90 15 90 15	73
310	90	15
311	90	15
312	90 15 90 15 90 90 90 90 90 40 61 15 15	90
313	90 15 90 15	90
314	90 15 90 15	90
315	90 15	90
316	61 61 90 90 15 90	90
317	90 15	90
318	90 15	90
319	90	90
320	90 90 90 90 15 90 15 90 15 40 14	15
321	90	15
322	90 15	90
323	90 15	90
324	90 15	90
325	90 15 61 16	40
326	90 15 90 15 90 15 15 90 15 90 15 90 15 90 90 15 90 15	90
327	90 15 90 15 90 15 90 61 61 40	69
328	61	40
329	61 90 15 61 61 61 90 15 90 40 16 40	40
330	61	16
331	90 15	16
332	61	40
333	61 16 40 61	61
334	90 15 90 40 15 90 61 90 15 90 90 15 90 71 15 15	61
335	90 15 61 61 90 90 15	90
336	90 15 15 90 90 61 16 40 15 90 15 40	90
337	15	90
338	16 40	16
339	90 90 40 40 40 40 16	40
340	84 15 90 61 90 90 61 61	15
341	90 15 90 15 90 69 40 15 90 61 15 90 15 16 40 90 15 61 90 15 61 61	90
342	90 15 90 15 90 90 90 15 61 61 90 15 16 16 16 16 40 90 15 90 15	90
343	90 15 90 15 90 15 90 15 90 15 90 90 15 90 15 15 90 6 15 90	15
344	90 15 90 15 16 40 16 40 16 61 61 90 90 15 16 40 16 40 16 40 40 15	90
345	61	61
346	90 15 15 61 16 40 61 61 99 61 61 61 61 61 61 61 61 61 15 15 61 61	61
347	90 6 61 61 40 15 90 15	16
348	61 61 69 61 61 69 69	23
349	15 15 90 15 90 15 90 90 90 15 90	15
350	90 90 15 90 15 90	90
351	90 37 90 90 15 90 15	90
352	90 15 90 15	90
353	90 15 90 15 90 90 15 15 15 90 4 4 61 61 16 40 15 90 15 90 15 90 15 90 16 40 15 90 15 90 61 61	15
354	90 15	90
355	84	90
356	90 15 40 61 40 16	40
357	90	61
358	73 61 61 16	40
359	90 15 90 15 90 15	90
360	61 69 40 40	90
361	90 15 90 15 40 90 16 40 15	90
362	90 15 37 84 15 90 90 15 90 15	90
363	15 15 90 15 90 61 16 40 15 40 33 61 61 61 24 61 61 61 61 61 61 61 68 24 68 61 90 61 15 61 61 90 61 61 15 61 61 16 40 99 6	61
364	61 90 15 90 15 90 15	61
365	90 15	90
366	37 84 15 15 37 16 16 16 16 16 16 16 40 16 16 40 40 40 16 16 40 61 16 16	90
367	61 61 90 40	15
368	90 61 16 40 15 40 90 16 40 40 15 90 15 40 61 40 90 40 40 40 15 40 40 13 90	15
369	90 15 90 15 15 90 15 90 15 90 15 90 15 90 90 15	90
370	61 61 90 15 15	90
371	90 15 90 15	90
372	90 90 15 90 61 16 40 16 40 15 90 15 90 90 15 90 84 15 90 15 90 15 61 61 69 16 16 16	16
373	90 61 61 90 15 90 69 15	90
374	90	15
375	15 90 15	90
376	90 15	90
377	90 15 90 16 16 40 40 15 90 90 15 90 40 40 15 90 16 16 40 40 40 40 40	40
378	69 69 16 16 16 16	40
379	90 15 90 40 15 90 15 61 61 90 15 16 61 90 15 90 15 15 15 90 15 16 40 90 15 69 69 61 71	90
380	61 16 40 90 15 90 15 15 40 90	15
381	90 61	61
382	16 16 40 40 90 15	90
383	90 15 61 61 40 69 16 16 16 16 16 14	16
384	16 40 69 40 61 61 61 90 16 16 40 87 15 16 40	40
385	90	15
386	90 15	90
387	90 15 90 40 15 61 61	61
388	90 15	90
389	90 15 90 15 90 40 15 90 15 90 16 40 15 90 15 61 61 71 40	90
390	90 15	90
391	90 15	90
392	90 61 61 40 15 40 40 40 40	90
393	61 61 40 40	90
394	90 15 90 15 90 15 61 90 61 16 40 15 37 37 15 15	90
395	90 15 90 61 15 90 61 40 16 40 90 15 90 61 15 90 15 90 90 90 90 90 15 90 90	15
396	15	61
397	90 15	90
398	90 61 15 90 40 15 90	37
399	90 15 90 15	61
400	90 15 90 61	15
401	90 15 61 61 61 61	61
402	90 61 61 15 90 15 61 90 16 16	40
403	90	61
404	90 61	40
405	90 15 90 15 61	90
406	90 15 61 16 40 90 15 15	16
407	90 15	16
408	70	69
409	69 69 69 16 40 16 40 16 16 16 16 40 16 40	16
410	16 40 69 69 16 40 69 69	16
411	61 61 61 61 61 61 61 16 61 61 61 61 61 61 61 61 61	61
412	69 69 69 16 16 40 40	69
413	16 16 40 40 61 61	16
414	61 69 61 69 69 84 15 69	69
415	61 84 16 40 16 40	15
416	61 61 69 69	69
417	69 69 69 69	70
418	69 84	15
419	69 61 61	61
420	37 15	37
421	61 69 69 61 40 84 40 15 16 40 15 40 99 99 99 33 40 40 61	69
422	73 73 40 40	50
423	68 73 73	61
424	16 40 69 69 40 16 40 40 40 69 69 61 16 40 61 15 84 40	16
425	61 6	61
426	69	61
427	16 40 90 15 40 40 90 15 15 90 15 90	15
428	69 61	61
429	84 15 61 61	16
430	61	69
431	16 40	69
432	69 61	61
433	69 69	40
434	61 61 16 16 40 40 69 69 69 69 70 70	69
435	69 61 61 61	61
436	61 61 69	69
437	69	61
438	40	40
439	16 40 16 40	61
440	69 69 69 69	40
441	61 70 70	69
442	61 61 69 70 70 69 69	70
443	61 61 61 69 69	69
444	61 16 16	40
445	69 69 69 69 16 16 16 16 16 16 40 40 40 40 90 15 15 40 40 40 40 61 61	61
446	16 16 16 16 40	40
447	61 16	69
448	40 40 69 69 61 61 16 40	16
449	61 61	61
450	69 4 69 69	69
451	69 69	69
452	37 15	16
453	69 16 40 61	61
454	16 16 16 40 16 40 16 40	69
455	61 16 40	69
456	37 84 61	69
457	40 69 69 70 70	70
458	16 40	61
459	69 61 61 61 69 61 61 61 61 61 61 61 61 69 61 61 61 61 61 61 61 61 61 69 61 61 61 61 61 61 61 61 69 61 61 61 61 61 61	61
460	61 69	69
461	40	61
462	69	70
463	61	69
464	69	61
465	61 61 40 16 40 61	61
466	69 69 69 70 70 69 69	70
467	61 61 61 61 61	61
468	61	40
469	61	16
470	16 16 40 40 69 69 69 69 69 69	69
471	61 16 16	40
472	69 69	16
473	16 40 16 40 69 69 69 69 69 69 69 69 69 69 69 70 69 69 70 84 69 69 15 69	69
474	16 40	69
475	61 16 61 40 89 16 16 16	16
476	40	16
477	69 16 16 40 61 90 15 16	61
478	61 61 69	16
479	61 61 16 40 69 61 69	70
480	16 40 16 40 40 40 16	16
481	61 61	69
482	61 69	61
483	61 40 69 69	69
484	61 16 40 16 40	69
485	69	16
486	15 15 61 61 61 69	23
487	16 15 16 40 69 69 23	61
488	61 40	16
489	61 61	69
490	61 16 40 40 69	78
491	61 16 40 16 40	78
492	24	33
493	61 69	69
494	16 40 40 16 40	78
495	24 33 16 40 16	16
496	69 16 40 69 40	16
497	40 16 16	69
498	69 23	69
499	17 17 17 17 17 17 17	69
500	17 17 16	40
501	40 16	61
502	61 40 15 69 40	40
503	17 17 16 16 40 40 16 16 40 40 40 40 40 40 69 69 16 16 40 40 40 40 69 69 90 15 13 13 16 16 40 40 13 13 16 16 40 40 13 13 69 69	23
504	4 17	37
505	4 4 69 78 61 24 33 6 61 16 40 16 40 16 40 16 40 69 16 40 16 40 16 40 16 40 16 40 16 40 16 40 16 40 40 16 40 16 40 16 40 16 16 16 40 40 16 40 16 40 16 16 40 16 16 40 13 15 69	16
506	61 6	40
507	61 6 78 40 16 40 16 40 24 33 16 40 69 4 13 6	61
508	33 40 16 13 6	61
509	40 61 61 6 40 40 6 61 61	61
510	6	61
511	6 61 6	61
512	61 6 61	24
513	33 4 13	24
514	17	69
515	16 40	69
516	61 6 61 61 17 40 16 69	61
517	69	17
518	61	6
519	69 17 61 6	69
520	4	69
521	4 4 17 69 17	6
522	4 6	61
523	16 40 69 69	69
524	17	4
525	69 69	61
526	61 61 61 61 69 69 69 69 69 69 23 23 61 61	61
527	69 6 61 61 69 69	69
528	16 40	6
529	16	40
530	23 40 16 16 16 6	61
531	40 16 16 16 40 40 16 16 16 16 16 61 69 23 68 24 16 40 69	61
532	17 16	40
533	16 40	69
534	94 94 94 94 17 17 17 17 17 17 17 17 16 16 40 40 17 17 17 17 69 69	4
535	69 69 61 61 6 6 61 61	61
536	4 61 61 61 61 61 61	61
537	61 61 69 69 6 61 17 69 69 69 69 69	69
538	69 69 4 24 33 24 33	6
539	4 6 61 61 6 61 4	69
540	61 61 6	69
541	69	4
542	61 69 16 40 6 61 69	23
543	69 61 6 4	6
544	6	61
545	69 16 40 16 40 16 40 16 40	16
546	61 61 6 6 69 69 69 69 69 69 4 4	40
547	61 61 6 61 61 16 16 40 40 69 69 4 4 16 16 40 40 16 16 40 40 40 40 69 69 16 16	61
548	16 16 40 40 33 33	61
549	69 6	61
550	4	16
551	61 6 61 16 40	69
552	61 4 6 61 69 23	6
553	69 69 61	69
554	69 17 61 69 40 69 17 17 17 17 17 17 69 17 17	69
555	69 69 69 69 6 61 69 61 69 23	61
556	61 61 69 17 4 69 61	6
557	61 61 61 61 61 61 69 69	61
558	69 69 69 69 23 23 69 69 23 23 61 61	69
559	40 40	16
560	16 40 69 69 23 61	6
561	61 6 61 61 69 69	69
562	69 69 17 69 4 61	61
563	61 61	6
564	69 61 69	69
565	16 16 40 40 6 6 61 61 69 69 69 69 70 70 69 69 69 69 61 61 69 69	61
566	16 16 40 40 69 69 23 23	61
567	69	69
568	69 4 6 61	61
569	4 4	69
570	61 6 61	61
571	17 69 17 17 17 61	6
572	61 61 6 61	61
573	69 69 23	61
574	69	23
575	61 6 61 69 4 6 61 4 61 6 61 61 4 61 61	61
576	61 69 61 61 6	61
577	69 69 4 61 61 6	16
578	69 4 61 61 6	61
579	6 61	61
580	69 6 61 61 40 4 6 61 40 40 16 40 40 40 40 4 69 6	61
581	61 6 4 61 4 61 61 4 61	61
582	4 4 16 40 6 61 61	16
583	61 61 61 61 6 40 61 40 16 40 16 40 61 40 16 16 16 16 16 16 16 16 40 40 16 40 40 69 24 78 68	78
584	78 24	78
585	40	16
586	40 24 68	78
587	4 4 4 69 69 69 69 69 69 61 61 4 4 4 61 61	61
588	61 69 6 61 4 6 61 61 4 6	61
589	61 61 61 69	69
590	69 61	16
591	61 61 69 69 6 6 61 61 40 40 40 40 16 16 40 40 40 40 16 16 40 40 40 40 16 16 40 40 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 40 40 16 16 40 40 40 40 40 40 40 40 69 69 40 40 40 40 40 40 40 40 61 61 40 40 40 40 40 40	69
592	40 40 16 16 16 16 40 40 40 40 16 16 40 40 40 40 69 69 23 23 16 16 69 69 23 23	69
593	16 40 61	61
594	61 69 4 6	61
595	4	61
596	61 61 69 69 69 69 17 17	17
597	61	6
598	69 4 61 61	6
599	61 61 4 4 6 61 61 4	6
600	61 61	6
601	61 4 4 61 61 69 61	69
602	69 61 69	16
603	16 40 4 61 61 16 40 61 61 61 61 16	40
604	16 40 69 61 61 6 61 61 61 69 4	61
605	61 69 6	61
606	61	61
607	69	69
608	4 61	6
609	69 4	69
610	4 61	6
611	69 4	6
612	4 4	61
613	4 4 61 61 4 61 61	61
614	4	69
615	61 4 61	61
616	4	61
617	4	61
618	61 61 4 61 61	6
619	69 4 6	61
620	61 61 4	61
621	61 16	40
622	61 4 61 61 61 6 61 61 4 61 61 61 61 4 61 61 4	61
623	61 61 4 61 61 4 16 40 61 61	61
624	4 61 61	61
625	6 61 61 69	69
626	61 69	61
627	69 69 4	61
628	69	61
629	61 61	61
630	4 69	61
631	61 16 40	16
632	61	61
633	40	4
634	69	4
635	61 61 61	4
636	69 69 4 61	4
637	4 4	61
638	4 4 69 69 69 69 61 61 69 69 61 61 69 69 69 69 61 61	4
639	40 61 40 4 61	61
640	90	15
641	61 61 4 61	61
642	69 69 16 40 69	23
643	61 61	4
644	61 6	61
645	4 33	61
646	4	61
647	4 61 61 61 4 61 61 4	61
648	69 4 61 61 61	4
649	61	61
650	16 16 40 40 4 4 61 61 16 16 16 16 16 16 16 16 40 40 16 16 16 16 16 16 40 40 61 61 4 4	61
651	61 61 4 4 61 61 61 4 69 69	23
652	4 4 16 40	61
653	16 40 61 60 61 61 60 61 61	61
654	61 61	4
655	69 23	16
656	61 16 40 61 69	61
657	40	16
658	40 16	61
659	16 16 40 40 69 69 69 69	69
660	69 69	23
661	16 40	69
662	16 40	16
663	16 40 69 69 23	61
664	61 69	23
665	16 40 69 23	61
666	69	16
667	40	61
668	16	40
669	61 16 40 16 40 16 16 16 16 40 69 23 40 16	16
670	16 40 61	37
671	16 40 37 84 15 37 15	37
672	40 90	15
673	33	16
674	69 69 61 61	61
675	16 40 51 13	24
676	37	90
677	61 61	17
678	61 16 40 16 40 40 90 16 40 16 40 16 40 37	90
679	16 40	90
680	16 40 40	16
681	4	69
682	4 69	69
683	16 40	90
684	61 16	40
685	16 40 69 40 90 61 69 15 40 90 15 90 15 61 73 61 90	40
686	69	90
687	16 40 90 61 73 61 15 90 15 90 15 90 15 15 90 15 90 90 15 15 90 15 73	61
688	40 61 73 61 73 90 61 15 90 15 90 90 15 16 40 90 15	90
689	16 40	90
690	16 40 90 69 16 40 15 69 69 4	40
691	16 40 69 69 23 16	40
692	40 16	40
693	16	40
694	16 16 69 69 16 16	40
695	69 69 61 61	61
696	16 40 84 84 37	61
697	61 61 40 90 15 90 15	90
698	90 61	69
699	68 61 16 40 61 61 61 90 61 61 61 15 84 90 15 90 15 90 15	90
700	61 61 61 61 40 40	40
701	16 16 40 40 16 16	40
702	61 61 61 61 13 13 16 16	40
703	61 61 61 13	16
704	61 61 61 16 40	37
705	61	16
706	61 61 61	16
707	16 40	61
708	61 90 69 61 15 61 61	90
709	61 61 16 40 90 69 15 40 16 40	61
710	61 13 90 13 15 15 15 33 40 61 90 15 40 15 15 15 15 90 15 15 90 15 90 15 90 40 15 15 90 40 15 40 40 90 15 69 90 61 15 61 90 15 90 16 40 40	15
711	16 16 40 40 90 61 90 16 16 40	40
712	69 61 90 15 90 15 15 90 15 90 15 90 15 16 16 16 16 61 16 16 40 40 90 61 15 90 15 15 16 16 15 40 16 16 16 16 90 15 15 15 15 61 61 15 40 15 16 61 61 84 15 90 15	84
713	40 61 61 69 69 90 15 40 40 40	40
714	61 40 40	13
715	61 61 61 61 13 13 13 13 15 33 33 33 33 16 16 16 16 16 16 16 16 16 16 16 16 90 15 40 40 40 40 90 15 90 15 16 16 16 16 16 16 16 16 16 16 16 16 40 40 40 40 16 16 40 40 40 40 40 40 16 16	40
716	40 40 16 16 16 16 40 40 40 40 90 40	40
717	61 24 68 61 61 90 15 61 33 33 90 15 61 61 61 90 15 90 15 84 90 15 90 15	90
718	61 61 16 16 16 16 40 40 40 40 61 61 69 69 69 69 69 69	69
719	16 16 40 40 16 16	40
720	69 69 16 16 40 40 16 16	40
721	16 16	40
722	61 16	40
723	40 40 16	16
724	16 40	61
725	61 61 61 61 16 40 16	40
726	69 70 69	69
727	61 69	69
728	61 61	69
729	61 61	16
730	61 61 61 69 69	16
731	61	61
732	61 61 61	69
733	61	16
734	61 61 69 69 61 61 16 40 69 69 69 69 69 23	16
735	61 16 16 40 40	69
736	61 69 69 69 23 23	69
737	61 61 61	69
738	61 69 69 16 40 61	16
739	61 16 16 40 40	69
740	61 69 69 90 61 4 40 61 40 40 15 40 16 40 61 40 69 69 69	90
741	61 40 40 16 16 40 90 15 16 16 16 16 16 40 40 69 90 15 73 15 61 61	90
742	61 61 61 16 40 16 16 16 40 16 40	61
743	61 61	69
744	4	4
745	61 61 4 4	61
746	61 61 4 90 61 61 16	16
747	4	16
748	16 40 16 40 16 16 16 16 16 16 16 16 16 16 16 16 16 40	61
749	16 40 69 61 61 61	61
750	16 40	16
751	16 40	61
752	61 61 61 16 40	69
753	16	40
754	90	15
755	90 15 69 40	13
756	16 16 69 69 13 13 69 69 23 23 69 69 16 16 40 40	61
757	40 40 15 69 69 33 61 61 61 61 61 61 61 61 16 40 16 40	40
758	40 40	61
759	90 15 15 90 15 15 90 15	90
760	4	4
761	69 69 69 69 61 61 69 69	69
762	16 40 90 16 16 40 15 61	40
763	16 40 69 69 40	69
764	40 40	69
765	61 61 4 4 16 16 40 40 16 16	40
766	84	84
767	69	69
768	69 16	40
769	4 4 61	16
770	94	16
771	16 40	15
772	61 61 69	61
773	16 40	61
774	15 90 15 90 15 90 90 15 90 15	90
775	90 15 84 15 90 15 90 15	90
776	61 61 40 40 4 4 4 4	4
777	61 61 4 4	13
778	16 16 40 40 61 61 4 4 4 4 4 4	4
779	37	99
780	4 16 40	61
781	16 69	61
782	16 40 16	40
783	16 40 69 69 23	69
784	16 40	69
785	69 61	69
786	61	16
787	16 16 40 40 61 61 4 4 69 69	4
788	61 61	69
789	61 69 61 69 16 90 13 90	69
790	90 15	90
791	61 61 40 40 69	69
792	61 16	40
793	4 61 40 4 61 61 61 4 61 40 4	61
794	4 61 61 16 40 15	16
795	61	61
796	69	16
797	4	61
798	61 61 16	40
799	61 61	61
800	40 90 15 40	40
801	61	84
802	61	84
803	90 15 90 15	90
804	15 90 15	90
805	61 61 16 16 40 40	61
806	61	61
807	15	84
